Date,Closing Price
2021년 06월 18일,71.64
2021년 06월 17일,71.04
2021년 06월 16일,72.15
2021년 06월 15일,72.12
2021년 06월 14일,70.88
2021년 06월 11일,70.91
2021년 06월 10일,70.29
2021년 06월 09일,69.96
2021년 06월 08일,70.05
2021년 06월 07일,69.23
2021년 06월 04일,69.62
2021년 06월 03일,68.81
2021년 06월 02일,68.83
2021년 06월 01일,67.72
2021년 05월 31일,66.96
2021년 05월 30일,66.59
2021년 05월 28일,66.32
2021년 05월 27일,66.85
2021년 05월 26일,66.21
2021년 05월 25일,66.07
2021년 05월 24일,66.05
2021년 05월 21일,63.58
2021년 05월 20일,62.05
2021년 05월 19일,63.36
2021년 05월 18일,65.49
2021년 05월 17일,66.27
2021년 05월 14일,65.37
2021년 05월 13일,63.82
2021년 05월 12일,66.08
2021년 05월 11일,65.28
2021년 05월 10일,64.92
2021년 05월 07일,64.9
2021년 05월 06일,64.71
2021년 05월 05일,65.63
2021년 05월 04일,65.69
2021년 05월 03일,64.49
2021년 04월 30일,63.58
2021년 04월 29일,65.01
2021년 04월 28일,63.86
2021년 04월 27일,62.94
2021년 04월 26일,61.91
2021년 04월 23일,62.14
2021년 04월 22일,61.43
2021년 04월 21일,61.35
2021년 04월 20일,62.44
2021년 04월 19일,63.38
2021년 04월 16일,63.13
2021년 04월 15일,63.46
2021년 04월 14일,63.15
2021년 04월 13일,60.18
2021년 04월 12일,59.7
2021년 04월 09일,59.32
2021년 04월 08일,59.6
2021년 04월 07일,59.77
2021년 04월 06일,59.33
2021년 04월 05일,58.65
2021년 04월 01일,61.45
2021년 03월 31일,59.16
2021년 03월 30일,60.55
2021년 03월 29일,61.56
2021년 03월 26일,60.97
2021년 03월 25일,58.56
2021년 03월 24일,61.18
2021년 03월 23일,57.76
2021년 03월 22일,61.55
2021년 03월 19일,61.42
2021년 03월 18일,60
2021년 03월 17일,64.6
2021년 03월 16일,64.8
2021년 03월 15일,65.39
2021년 03월 12일,65.61
2021년 03월 11일,66.02
2021년 03월 10일,64.44
2021년 03월 09일,64.01
2021년 03월 08일,65.05
2021년 03월 05일,66.09
2021년 03월 04일,63.83
2021년 03월 03일,61.28
2021년 03월 02일,59.75
2021년 03월 01일,60.64
2021년 02월 26일,61.5
2021년 02월 25일,63.53
2021년 02월 24일,63.22
2021년 02월 23일,61.67
2021년 02월 22일,61.49
2021년 02월 19일,59.24
2021년 02월 18일,60.52
2021년 02월 17일,61.14
2021년 02월 16일,60.05
2021년 02월 15일,60.09
2021년 02월 14일,60.37
2021년 02월 12일,59.47
2021년 02월 11일,58.24
2021년 02월 10일,58.68
2021년 02월 09일,58.36
2021년 02월 08일,57.97
2021년 02월 05일,56.85
2021년 02월 04일,56.23
2021년 02월 03일,55.69
2021년 02월 02일,54.76
2021년 02월 01일,53.55
2021년 01월 29일,52.2
2021년 01월 28일,52.34
2021년 01월 27일,52.85
2021년 01월 26일,52.61
2021년 01월 25일,52.77
2021년 01월 22일,52.27
2021년 01월 21일,53.13
2021년 01월 20일,53.24
2021년 01월 19일,52.98
2021년 01월 18일,52.36
2021년 01월 17일,52.2
2021년 01월 15일,52.36
2021년 01월 14일,53.57
2021년 01월 13일,52.91
2021년 01월 12일,53.21
2021년 01월 11일,52.25
2021년 01월 08일,52.24
2021년 01월 07일,50.83
2021년 01월 06일,50.63
2021년 01월 05일,49.93
2021년 01월 04일,47.62
2020년 12월 31일,48.52
2020년 12월 30일,48.4
2020년 12월 29일,48
2020년 12월 28일,47.62
2020년 12월 24일,48.23
2020년 12월 23일,48.12
2020년 12월 22일,47.02
2020년 12월 21일,47.74
2020년 12월 18일,49.1
2020년 12월 17일,48.36
2020년 12월 16일,47.82
2020년 12월 15일,47.62
2020년 12월 14일,46.99
2020년 12월 11일,46.57
2020년 12월 10일,46.78
2020년 12월 09일,45.52
2020년 12월 08일,45.6
2020년 12월 07일,45.76
2020년 12월 04일,46.26
2020년 12월 03일,45.64
2020년 12월 02일,45.28
2020년 12월 01일,44.55
2020년 11월 30일,45.34
2020년 11월 27일,45.53
2020년 11월 26일,44.98
2020년 11월 25일,45.71
2020년 11월 24일,44.91
2020년 11월 23일,43.06
2020년 11월 20일,42.15
2020년 11월 19일,41.74
2020년 11월 18일,41.82
2020년 11월 17일,41.43
2020년 11월 16일,41.34
2020년 11월 13일,40.13
2020년 11월 12일,41.12
2020년 11월 11일,41.45
2020년 11월 10일,41.36
2020년 11월 09일,40.29
2020년 11월 06일,37.14
2020년 11월 05일,38.79
2020년 11월 04일,39.15
2020년 11월 03일,37.66
2020년 11월 02일,36.81
2020년 10월 30일,35.79
2020년 10월 29일,36.17
2020년 10월 28일,37.39
2020년 10월 27일,39.57
2020년 10월 26일,38.56
2020년 10월 23일,39.85
2020년 10월 22일,40.64
2020년 10월 21일,40.03
2020년 10월 20일,41.46
2020년 10월 19일,40.83
2020년 10월 16일,40.88
2020년 10월 15일,40.96
2020년 10월 14일,41.04
2020년 10월 13일,40.2
2020년 10월 12일,39.43
2020년 10월 09일,40.6
2020년 10월 08일,41.19
2020년 10월 07일,39.95
2020년 10월 06일,40.67
2020년 10월 05일,39.22
2020년 10월 02일,37.05
2020년 10월 01일,38.72
2020년 09월 30일,40.22
2020년 09월 29일,39.29
2020년 09월 28일,40.6
2020년 09월 25일,40.25
2020년 09월 24일,40.31
2020년 09월 23일,39.93
2020년 09월 22일,39.6
2020년 09월 21일,39.31
2020년 09월 18일,41.11
2020년 09월 17일,40.97
2020년 09월 16일,40.16
2020년 09월 15일,38.28
2020년 09월 14일,37.26
2020년 09월 11일,37.33
2020년 09월 10일,37.3
2020년 09월 09일,38.05
2020년 09월 08일,36.76
2020년 09월 07일,39.2
2020년 09월 06일,38.75
2020년 09월 04일,39.77
2020년 09월 03일,41.37
2020년 09월 02일,41.51
2020년 09월 01일,42.76
2020년 08월 31일,42.61
2020년 08월 28일,42.97
2020년 08월 27일,43.04
2020년 08월 26일,43.39
2020년 08월 25일,43.35
2020년 08월 24일,42.62
2020년 08월 21일,42.34
2020년 08월 20일,42.58
2020년 08월 19일,42.93
2020년 08월 18일,42.89
2020년 08월 17일,42.89
2020년 08월 14일,42.01
2020년 08월 13일,42.24
2020년 08월 12일,42.67
2020년 08월 11일,41.61
2020년 08월 10일,41.94
2020년 08월 07일,41.22
2020년 08월 06일,41.95
2020년 08월 05일,42.19
2020년 08월 04일,41.7
2020년 08월 03일,41.01
2020년 07월 31일,40.27
2020년 07월 30일,39.92
2020년 07월 29일,41.27
2020년 07월 28일,41.04
2020년 07월 27일,41.6
2020년 07월 24일,41.29
2020년 07월 23일,41.07
2020년 07월 22일,41.9
