±â°£,Dubai,Brent,WTI
19-Sep,61.13047619,62.28714286,56.967
19-Oct,59.385,59.63217391,54.00565217
19-Nov,61.9947619,62.70952381,57.07
19-Dec,64.90619048,65.17380952,59.8047619
20-Jan,64.31619048,63.67272727,57.52857143
20-Feb,54.229,55.4775,50.54210526
20-Mar,33.70590909,33.72909091,30.44545455
20-Apr,20.39428571,26.63142857,16.69904762
20-May,30.47,32.41190476,28.5275
20-Jun,40.79909091,40.77272727,38.31363636
20-Jul,43.29666667,43.22217391,40.76590909
20-Aug,43.998,45.02,42.38809524
20-Sep,41.51045455,41.87363636,39.62571429
20-Oct,40.67454545,41.52409091,39.55454545
20-Nov,43.41761905,43.98,41.3465
20-Dec,49.835,50.21818182,47.06818182
21-Jan,54.8185,55.3215,52.10210526
21-Feb,60.89421053,62.2815,59.06105263
21-Mar,64.43913043,65.70217391,62.3573913
21-Apr,62.92333333,65.32857143,61.70380952
21-May,66.34210526,68.30904762,65.157
21-Jun,71.60090909,73.40818182,71.35272727
21-Jul,72.92952381,74.29363636,72.43047619
21-Aug,69.5047619,70.51363636,67.71136364
21-Sep,72.62818182,74.87636364,71.5447619
21-Oct,81.61095238,83.74619048,81.22285714
21-Nov,80.3,80.84954545,78.65380952
21-Dec,73.20681818,74.80391304,71.69
22-Jan,83.47,85.57238095,82.979
22-Feb,92.36388889,94.1015,91.62894737
22-Mar,110.9321739,112.4630435,108.2621739
22-Apr,102.817,105.917,101.6405
