Date,Closing Price
2017년 12월 10일,57.3
2017년 12월 03일,57.36
2017년 11월 26일,58.36
2017년 11월 19일,58.95
2017년 11월 12일,56.55
2017년 11월 05일,56.74
2017년 10월 29일,55.64
2017년 10월 22일,53.9
2017년 10월 15일,51.47
2017년 10월 08일,51.45
2017년 10월 01일,49.29
2017년 09월 24일,51.67
2017년 09월 17일,50.66
2017년 09월 10일,49.89
2017년 09월 03일,47.48
2017년 08월 27일,47.29
2017년 08월 20일,47.87
2017년 08월 13일,48.51
2017년 08월 06일,48.82
2017년 07월 30일,49.58
2017년 07월 23일,49.71
2017년 07월 16일,45.77
2017년 07월 09일,46.54
2017년 07월 02일,44.23
2017년 06월 25일,46.04
2017년 06월 18일,43.01
2017년 06월 11일,44.74
2017년 06월 04일,45.83
2017년 05월 28일,47.66
2017년 05월 21일,49.8
2017년 05월 14일,50.33
2017년 05월 07일,47.84
2017년 04월 30일,46.22
2017년 04월 23일,49.33
2017년 04월 16일,49.62
2017년 04월 09일,53.18
2017년 04월 02일,52.24
2017년 03월 26일,50.6
2017년 03월 19일,47.97
2017년 03월 12일,48.78
2017년 03월 05일,48.49
2017년 02월 26일,53.33
2017년 02월 19일,53.99
2017년 02월 12일,53.4
2017년 02월 05일,53.86
2017년 01월 29일,53.83
2017년 01월 22일,53.17
2017년 01월 15일,52.42
2017년 01월 08일,52.37
2017년 01월 01일,53.99
2016년 12월 25일,53.72
2016년 12월 18일,53.02
2016년 12월 11일,51.9
2016년 12월 04일,51.5
2016년 11월 27일,51.68
2016년 11월 20일,46.06
2016년 11월 13일,45.69
2016년 11월 06일,43.41
2016년 10월 30일,44.07
2016년 10월 23일,48.7
2016년 10월 16일,50.85
2016년 10월 09일,50.35
2016년 10월 02일,49.81
2016년 09월 25일,48.24
2016년 09월 18일,44.48
2016년 09월 11일,43.03
2016년 09월 04일,45.88
2016년 08월 28일,44.44
2016년 08월 21일,47.64
2016년 08월 14일,48.52
2016년 08월 07일,44.49
2016년 07월 31일,41.8
2016년 07월 24일,41.6
2016년 07월 17일,44.19
2016년 07월 10일,45.95
2016년 07월 03일,45.41
2016년 06월 26일,48.99
2016년 06월 19일,47.64
2016년 06월 12일,47.98
2016년 06월 05일,49.07
2016년 05월 29일,48.62
2016년 05월 22일,49.33
2016년 05월 15일,47.75
2016년 05월 08일,46.21
2016년 05월 01일,44.66
2016년 04월 24일,45.92
2016년 04월 17일,43.73
2016년 04월 10일,40.36
2016년 04월 03일,39.72
2016년 03월 27일,36.79
2016년 03월 20일,39.46
2016년 03월 13일,39.44
2016년 03월 06일,38.5
2016년 02월 28일,35.92
2016년 02월 21일,32.78
2016년 02월 14일,29.64
2016년 02월 07일,29.44
2016년 01월 31일,30.89
2016년 01월 24일,33.62
2016년 01월 17일,32.19
